PMID,Title,Link
PMID: 30235847,Autologous Transplantation for Older Adults With AML,https://pubmed.ncbi.nlm.nih.gov/30235847-autologous-transplantation-for-older-adults-with-aml/?from_term=AML&from_pos=3
PMID: 30926095,Genetic and Epigenetic Determinants of AML Pathogenesis,https://pubmed.ncbi.nlm.nih.gov/30926095-genetic-and-epigenetic-determinants-of-aml-pathogenesis/?from_term=AML&from_page=1&from_pos=5
PMID: 29601851,MicroRNA-155 Expression and Function in AML: An Evolving Paradigm,https://pubmed.ncbi.nlm.nih.gov/29601851-microrna-155-expression-and-function-in-aml-an-evolving-paradigm/?from_term=AML&from_page=1&from_pos=6
PMID: 28698788,Treatment of Low-Blast Count AML Using Hypomethylating Agents,https://pubmed.ncbi.nlm.nih.gov/28698788-treatment-of-low-blast-count-aml-using-hypomethylating-agents/?from_term=AML&from_page=1&from_pos=8
PMID: 28682649,Targeting Ras Signaling in AML: RALB Is a Small GTPase With Big Potential,https://pubmed.ncbi.nlm.nih.gov/28682649-targeting-ras-signaling-in-aml-ralb-is-a-small-gtpase-with-big-potential/?from_term=AML&from_page=1&from_pos=9
PMID: 29928134,Reformulating Acute Myeloid Leukemia: Liposomal Cytarabine and Daunorubicin (CPX-351) as an Emerging Therapy for Secondary AML,https://pubmed.ncbi.nlm.nih.gov/29928134-reformulating-acute-myeloid-leukemia-liposomal-cytarabine-and-daunorubicin-cpx-351-as-an-emerging-therapy-for-secondary-aml/?from_term=AML&from_page=2&from_pos=2
PMID: 26992835,AML Multi-Gene Panel Testing: A Review and Comparison of Two Gene Panels,https://pubmed.ncbi.nlm.nih.gov/26992835-aml-multi-gene-panel-testing-a-review-and-comparison-of-two-gene-panels/?from_term=AML&from_page=2&from_pos=10
PMID: 31547736,Emerging Drug Profile: CPX-351 (Vyxeos) in AML,https://pubmed.ncbi.nlm.nih.gov/31547736-emerging-drug-profile-cpx-351-vyxeos-in-aml/?from_term=AML&from_page=3&from_pos=1
PMID: 22879540,Diagnosis and Management of Acute Myeloid Leukemia in Children and Adolescents: Recommendations From an International Expert Panel,https://pubmed.ncbi.nlm.nih.gov/22879540-diagnosis-and-management-of-acute-myeloid-leukemia-in-children-and-adolescents-recommendations-from-an-international-expert-panel/?from_term=AML&from_page=3&from_pos=10
PMID: 23261068,Mutational Landscape of AML With Normal Cytogenetics: Biological and Clinical Implications,https://pubmed.ncbi.nlm.nih.gov/23261068-mutational-landscape-of-aml-with-normal-cytogenetics-biological-and-clinical-implications/?from_term=AML&from_page=4&from_pos=1
